business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Miami-Dade County Public Schools;156;;Elementary Schools,Middle Schools & High Schools;0;45 SW 13th St Miami, FL 33130;25.7617445;-80.1941352;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-11
Miami-Dade County Public Schools;157;;Elementary Schools,Middle Schools & High Schools;0;2450 NW 84th St Miami, FL 33147;25.8502483;-80.2387439;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-147
Miami-Dade County Public Schools;158;;Elementary Schools,Middle Schools & High Schools;0;2780 NW 87th St Miami, FL 33147;25.8524961;-80.2447456;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-115
Miami-Dade County Public Schools;159;;Elementary Schools,Middle Schools & High Schools;0;7124 NW 12th Ave Miami, FL 33150;25.839905;-80.217601;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-57
Miami-Dade County Public Schools;160;;Middle Schools & High Schools;0;7460 SW 118th St Miami, FL 33156;25.660241;-80.316317;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-17
Miami-Dade County Public Schools;161;;Elementary Schools,Middle Schools & High Schools;0;13137 SW 26th St Miami, FL 33175;25.7438429;-80.4084448;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-126
Miami-Dade County Public Schools;162;;Elementary Schools,Middle Schools & High Schools;0;6161 NW 5th Ct Miami, FL 33127;25.8316958;-80.2047388;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-75
Miami-Dade County Public Schools;163;;Elementary Schools,Middle Schools & High Schools;0;3979 Rickenbacker Cswy Miami, FL 33149;25.7390149;-80.166327;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-200
Miami-Dade County Public Schools;164;;Elementary Schools,Middle Schools & High Schools;0;1901 SW 134th Ave Miami, FL 33175;25.7494545;-80.4117832;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-188
Miami-Dade County Public Schools;165;;Elementary Schools,Middle Schools & High Schools;0;500 NW 67th St Miami, FL 33150;25.8357043;-80.2048513;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-86
Miami-Dade County Public Schools;166;;Elementary Schools,Middle Schools & High Schools;0;7750 SW 136th St Miami, FL 33156;25.6442466;-80.3184448;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-157
